,School,Years,AllTimeGames,AllTimeWins,AllTimeLosses,AllTimeWinPct,AllTimeSRS,AllTimeSOS,FinalPoll,RegSeasonConfChampCount,ConfChampPostCount,NCAAAppCount,NCAAFinalFourCount,NCAAChampCount,Games2023,Wins2023,Losses2023,WinPct2023,SRS2023,SOS2023,ConfWins2023,ConfLosses2023,HomeWins2023,HomeLosses2023,AwayWins2023,AwayLosses2023,Points2023,OppPoints2023,MinutesPlayed2023,FGM2023,FGA2023,FGPct2023,3PM2023,3PA2023,3PPct2023,FTM2023,FTA2023,FTPct2023,OffReb2023,TotReb2023,Assists2023,Steals2023,Blocks2023,Turnovers2023,Fouls2023
289,Stanford,110,2857,1614,1243,0.565,7.92,6.1,10,11,1,17,2,1,32,14,18,0.438,7.35,7.48,8.0,12.0,10,6,3,8,2443,2447,1300,882,1886,0.468,286,774,0.37,393,540,0.728,248,1097,515,176,99,410,490
290,Stephen F. Austin,39,1129,657,472,0.582,-5.09,-6.23,0,10,5,5,0,0,33,18,15,0.545,-0.95,-1.76,10.0,10.0,10,5,5,8,2463,2353,1345,849,1890,0.449,203,607,0.334,562,796,0.706,393,1184,422,295,93,530,697
291,Stetson,54,1537,700,837,0.455,-8.25,-4.38,0,0,1,1,0,0,35,22,13,0.629,-5.09,-3.24,11.0,5.0,14,2,6,10,2687,2566,1405,950,2053,0.463,313,857,0.365,474,619,0.766,339,1216,465,187,108,369,516
292,Stonehill,3,72,23,49,0.319,-13.98,-5.63,0,0,0,0,0,0,31,4,27,0.129,-20.1,-6.1,2.0,14.0,4,8,0,19,1967,2360,1245,714,1788,0.399,253,834,0.303,286,415,0.689,257,1020,366,198,77,421,477
293,Stony Brook,26,780,391,389,0.501,-6.82,-4.84,0,4,1,1,0,0,35,20,15,0.571,-2.59,-2.62,10.0,8.0,13,3,4,11,2573,2531,1430,921,2101,0.438,277,775,0.357,454,614,0.739,336,1280,424,211,113,359,532
294,Syracuse,124,3077,2098,979,0.682,9.56,4.11,30,10,5,41,6,1,32,20,12,0.625,8.53,9.4,11.0,9.0,14,2,4,7,2442,2420,1280,883,1915,0.461,219,651,0.336,457,634,0.721,277,1064,442,290,129,364,493
295,Tarleton State,5,130,69,61,0.531,-5.71,0.55,0,0,0,0,0,0,35,25,10,0.714,1.4,-0.97,16.0,4.0,13,4,10,5,2593,2402,1405,951,2091,0.455,203,623,0.326,488,645,0.757,379,1192,482,308,124,395,605
296,TCU,112,2792,1319,1473,0.472,0.92,2.27,4,11,0,11,0,0,34,21,13,0.618,14.62,7.32,9.0,9.0,12,4,6,5,2687,2439,1380,964,2089,0.461,224,632,0.354,535,732,0.731,433,1263,575,305,128,438,593
297,Temple,129,3156,1998,1158,0.633,6.18,2.63,9,20,10,33,2,0,36,16,20,0.444,-1.26,1.68,5.0,13.0,5,9,5,7,2551,2624,1470,876,2214,0.396,296,931,0.318,503,709,0.709,406,1304,402,265,105,357,610
298,Tennessee,116,2882,1778,1102,0.617,9.33,5.42,16,11,5,26,0,0,36,27,9,0.75,21.81,10.42,14.0,4.0,14,2,8,3,2836,2426,1440,979,2223,0.44,315,915,0.344,563,750,0.751,419,1393,600,280,166,367,629
299,Tennessee State,48,1366,586,780,0.429,-8.89,-5.0,0,2,2,2,0,0,33,18,15,0.545,-9.64,-7.64,10.0,8.0,11,3,5,10,2400,2343,1325,832,1881,0.442,217,667,0.325,519,687,0.755,327,1144,396,220,116,436,644
300,Tennessee Tech,71,1935,931,1004,0.481,-6.84,-3.62,0,7,1,2,0,0,31,10,21,0.323,-15.04,-6.29,5.0,13.0,7,8,3,13,2089,2289,1250,758,1692,0.448,202,608,0.332,371,522,0.711,191,957,379,156,90,369,421
301,Tennessee-Martin,33,956,372,584,0.389,-11.18,-4.25,0,4,0,0,0,0,32,21,11,0.656,-5.57,-7.25,14.0,4.0,12,2,9,7,2609,2455,1290,908,2045,0.444,279,779,0.358,514,667,0.771,325,1319,415,199,89,366,455
302,Texas,119,3046,1905,1141,0.625,6.97,3.83,14,25,4,38,3,0,34,21,13,0.618,15.91,9.41,9.0,9.0,14,4,4,6,2563,2342,1365,932,1988,0.469,245,691,0.355,454,600,0.757,339,1179,512,244,149,393,587
303,Texas A&M,113,2867,1528,1339,0.533,3.05,2.81,5,12,2,16,0,0,36,21,15,0.583,13.35,9.32,9.0,9.0,10,5,6,6,2736,2591,1450,926,2304,0.402,255,869,0.293,629,890,0.707,627,1541,412,250,108,346,611
304,Texas A&M-Corpus Christi,23,693,365,328,0.527,-6.08,-5.07,0,2,3,3,0,0,33,21,12,0.636,-4.45,-7.24,14.0,4.0,13,2,8,7,2480,2200,1335,889,2046,0.435,183,616,0.297,519,738,0.703,438,1328,485,291,96,400,689
305,Texas Southern,48,1426,707,719,0.496,-10.28,-7.92,0,12,11,11,0,0,33,16,17,0.485,-9.09,-7.03,12.0,6.0,7,4,6,11,2316,2346,1325,821,1980,0.415,242,766,0.316,432,597,0.724,365,1165,384,228,124,415,610
306,Texas State,41,1193,563,630,0.472,-7.46,-5.16,0,5,2,2,0,0,35,17,18,0.486,-3.71,-0.74,7.0,11.0,9,4,5,11,2445,2452,1410,883,1988,0.444,159,488,0.326,520,747,0.696,388,1243,413,258,118,470,617
307,Texas Tech,97,2620,1482,1138,0.566,5.16,2.81,8,13,5,20,1,0,34,23,11,0.676,14.96,9.28,11.0,7.0,15,2,4,6,2561,2368,1365,877,1943,0.451,289,804,0.359,518,664,0.78,338,1188,501,204,86,378,508
308,Texas-Rio Grande Valley,57,1590,675,915,0.425,-8.19,-2.94,0,0,0,0,0,0,31,6,25,0.194,-13.39,-0.9,2.0,18.0,5,9,1,14,2181,2473,1250,754,1801,0.419,160,547,0.293,513,728,0.705,290,1037,400,251,92,434,563
309,The Citadel,113,2520,1055,1465,0.419,-12.73,-5.33,0,0,0,0,0,0,32,11,21,0.344,-6.53,-2.91,3.0,15.0,7,7,2,13,2260,2289,1285,819,1782,0.46,197,600,0.328,425,602,0.706,300,1094,359,179,84,385,447
310,Toledo,110,2707,1570,1137,0.58,1.04,-0.38,2,16,1,4,0,0,32,20,12,0.625,1.78,-2.09,14.0,4.0,12,3,8,5,2560,2436,1290,920,1926,0.478,207,550,0.376,513,680,0.754,318,1081,430,233,64,342,498
311,Towson,46,1348,589,759,0.437,-7.1,-4.01,0,5,3,2,0,0,34,20,14,0.588,0.19,-2.27,11.0,7.0,12,2,6,6,2296,2164,1375,818,1934,0.423,216,659,0.328,444,672,0.661,491,1337,381,210,142,413,565
312,Troy,32,942,456,486,0.484,-6.67,-4.65,0,6,2,2,0,0,32,20,12,0.625,1.24,-3.17,13.0,5.0,15,2,5,9,2546,2261,1300,859,1950,0.441,276,787,0.351,552,753,0.733,427,1230,438,331,105,441,611
313,Tulane,115,2671,1293,1378,0.484,-0.89,1.22,1,7,0,3,0,0,31,14,17,0.452,3.65,2.68,5.0,13.0,11,6,2,8,2540,2481,1260,856,1798,0.476,233,653,0.357,595,813,0.732,217,1030,440,243,136,347,530
314,Tulsa,112,2762,1518,1244,0.55,4.58,3.05,5,11,6,16,0,0,31,16,15,0.516,-1.2,-1.0,7.0,11.0,14,4,2,9,2325,2290,1255,779,1775,0.439,239,731,0.327,528,717,0.736,270,1091,392,243,105,403,543
315,UAB,46,1467,925,542,0.631,6.31,2.26,2,7,7,17,0,0,35,23,12,0.657,5.14,3.73,12.0,6.0,12,5,7,5,2711,2627,1420,937,2085,0.449,215,658,0.327,622,834,0.746,451,1329,473,236,159,406,555
316,UC Davis,18,526,244,282,0.464,-5.42,-2.28,0,2,1,1,0,0,33,20,13,0.606,-1.33,-2.85,14.0,6.0,10,6,8,6,2351,2246,1330,799,1808,0.442,230,684,0.336,523,699,0.748,327,1102,411,257,116,444,633
317,UC Irvine,48,1430,735,695,0.514,-0.69,0.09,0,9,2,2,0,0,34,24,10,0.706,6.89,-0.93,17.0,3.0,13,0,8,9,2639,2321,1370,967,2035,0.475,197,565,0.349,508,675,0.753,360,1287,529,219,113,393,624
318,UC Riverside,24,693,270,423,0.39,-6.99,-1.82,0,0,0,0,0,0,34,16,18,0.471,-4.26,-1.23,10.0,10.0,10,5,4,12,2404,2448,1366,842,2122,0.397,287,904,0.317,433,604,0.717,420,1256,446,191,48,326,586
319,UC San Diego,5,117,57,60,0.487,-1.75,-0.85,0,0,0,0,0,0,33,21,12,0.636,2.04,-2.8,15.0,5.0,14,2,7,8,2530,2290,1335,884,1933,0.457,293,818,0.358,469,624,0.752,317,1147,429,205,91,320,532
320,UC Santa Barbara,62,1748,949,799,0.543,-0.06,-0.34,0,6,5,7,0,0,31,16,15,0.516,-3.19,-3.01,9.0,11.0,9,7,6,7,2337,2280,1250,826,1684,0.49,187,519,0.36,498,677,0.736,252,1081,417,152,99,405,511
321,UCF,41,1207,614,593,0.509,-2.41,-1.48,0,1,4,5,0,0,33,17,16,0.515,11.92,8.17,7.0,11.0,11,8,3,7,2366,2242,1325,817,1945,0.42,225,698,0.322,507,723,0.701,408,1243,375,287,165,413,601
322,UCLA,106,2922,2012,910,0.689,15.63,6.92,43,32,4,52,19,11,33,16,17,0.485,7.5,7.84,10.0,10.0,9,7,5,6,2177,2160,1320,762,1820,0.419,183,552,0.332,470,644,0.73,339,1115,368,192,109,358,609
323,UNC Asheville,39,1147,567,580,0.494,-9.15,-5.41,0,8,6,5,0,0,34,22,12,0.647,-1.92,-2.99,12.0,4.0,12,2,5,7,2682,2485,1375,906,1950,0.465,277,759,0.365,593,799,0.742,319,1182,534,203,146,403,581
324,UNC Greensboro,34,1021,507,514,0.497,-5.31,-3.88,0,7,4,4,0,0,32,21,11,0.656,-0.27,-2.9,12.0,6.0,11,3,7,7,2422,2233,1290,865,1878,0.461,322,812,0.397,370,507,0.73,319,1133,473,223,81,349,549
325,UNC Wilmington,49,1436,757,679,0.527,-2.75,-2.6,0,9,6,6,0,0,31,21,10,0.677,1.21,-2.9,12.0,6.0,10,2,10,6,2461,2202,1260,863,1871,0.461,258,741,0.348,477,628,0.76,330,1066,379,202,75,266,527
326,UT Arlington,57,1627,749,878,0.46,-7.57,-4.12,0,3,1,1,0,0,34,20,14,0.588,2.38,0.69,13.0,7.0,12,3,5,10,2614,2492,1365,880,1981,0.444,305,861,0.354,549,747,0.735,404,1275,536,241,130,526,706
327,Utah,117,2986,1903,1083,0.637,8.42,3.71,21,30,5,29,4,1,37,22,15,0.595,15.0,9.41,9.0,11.0,17,2,2,9,2915,2708,1495,1082,2309,0.469,345,933,0.37,406,625,0.65,370,1438,654,217,154,426,587
328,Utah State,120,2896,1727,1169,0.596,4.51,1.14,6,17,10,24,0,0,35,28,7,0.8,11.56,5.29,14.0,4.0,14,1,8,4,2788,2497,1420,999,2036,0.491,226,678,0.333,564,783,0.72,332,1254,572,238,148,385,594
329,Utah Tech,5,126,48,78,0.381,-8.15,-0.42,0,0,0,0,0,0,31,11,20,0.355,-8.08,-1.18,7.0,13.0,6,7,5,13,2194,2389,1250,771,1724,0.447,201,596,0.337,451,699,0.645,307,1070,401,205,133,495,647
330,Utah Valley,16,481,263,218,0.547,-4.23,-3.76,0,5,0,0,0,0,32,16,16,0.5,-1.33,-0.03,11.0,9.0,10,4,5,10,2199,2195,1290,801,1851,0.433,154,540,0.285,443,655,0.676,335,1179,477,222,143,395,578
331,UTEP,97,2501,1421,1080,0.568,2.51,0.64,4,11,5,17,1,1,34,18,16,0.529,-1.49,-1.3,7.0,9.0,13,5,2,9,2470,2348,1370,859,1922,0.447,194,609,0.319,558,809,0.69,361,1124,439,389,97,500,677
332,UTSA,44,1283,625,658,0.487,-5.96,-4.01,0,3,4,4,0,0,32,11,21,0.344,-5.26,-0.71,5.0,13.0,7,9,4,11,2483,2591,1300,837,2040,0.41,311,922,0.337,498,701,0.71,419,1289,444,161,133,360,573
333,Valparaiso,90,2299,1194,1105,0.519,-4.24,-1.5,0,14,10,9,0,0,32,7,25,0.219,-8.25,1.17,3.0,17.0,6,11,1,13,2163,2416,1280,796,1961,0.406,234,721,0.325,337,471,0.715,320,1064,384,197,113,353,521
334,Vanderbilt,123,2942,1683,1259,0.572,8.25,5.02,11,3,3,15,0,0,32,9,23,0.281,0.19,8.16,4.0,14.0,8,10,1,9,2173,2428,1285,748,1877,0.399,209,738,0.283,468,660,0.709,344,1102,300,196,92,333,489
335,Vermont,70,1905,1044,861,0.548,-9.27,-6.93,0,15,10,10,0,0,35,28,7,0.8,2.78,-3.31,15.0,1.0,16,1,10,4,2506,2205,1405,900,1980,0.455,300,878,0.342,406,567,0.716,268,1212,478,206,136,322,488
336,Villanova,105,2885,1891,994,0.655,10.53,5.81,26,14,8,41,7,3,34,18,16,0.529,14.44,9.82,10.0,10.0,10,6,4,8,2388,2231,1390,826,1945,0.425,315,933,0.338,421,521,0.808,288,1184,437,197,81,327,520
337,Virginia,120,2965,1747,1217,0.589,7.07,5.55,16,12,3,26,3,1,34,23,11,0.676,10.45,7.31,13.0,7.0,15,2,5,6,2140,2033,1375,808,1887,0.428,220,615,0.358,304,477,0.637,298,1107,509,239,169,274,460
338,Virginia Commonwealth,52,1587,1034,553,0.652,5.76,0.92,3,11,10,19,1,0,38,24,14,0.632,8.7,4.41,11.0,7.0,13,6,7,5,2697,2534,1530,906,2059,0.44,322,911,0.353,563,721,0.781,343,1336,515,246,167,462,625
339,Virginia Military Institute,117,2594,951,1643,0.367,-12.77,-4.58,1,2,3,3,0,0,32,4,28,0.125,-20.65,-2.44,1.0,17.0,4,10,0,15,2204,2644,1285,818,1935,0.423,210,673,0.312,358,517,0.692,299,1170,335,179,82,507,539
340,Virginia Tech,117,2849,1559,1290,0.547,4.2,1.78,3,2,2,13,0,0,34,19,15,0.559,11.91,7.97,10.0,10.0,15,2,2,10,2547,2413,1360,886,1905,0.465,276,792,0.348,499,629,0.793,263,1101,514,180,83,376,540
341,Wagner,53,1495,734,761,0.491,-9.68,-7.3,0,4,2,2,0,0,33,17,16,0.515,-10.64,-8.58,7.0,9.0,7,5,9,10,2103,2083,1335,758,1913,0.396,238,727,0.327,349,496,0.704,369,1183,421,195,76,326,507
342,Wake Forest,119,2939,1628,1311,0.554,8.01,6.12,17,4,5,23,1,0,35,21,14,0.6,14.94,7.52,11.0,9.0,17,2,2,9,2733,2473,1410,968,2042,0.474,278,764,0.364,519,653,0.795,296,1197,429,207,145,375,542
343,Washington,124,3145,1873,1272,0.596,7.42,6.13,8,12,3,17,1,0,32,17,15,0.531,11.85,8.38,9.0,11.0,11,6,5,6,2579,2468,1305,931,1980,0.47,258,728,0.354,459,636,0.722,301,1151,482,184,118,374,585
344,Washington State,124,3294,1694,1600,0.514,3.53,4.96,4,2,0,7,1,0,35,25,10,0.714,14.02,7.19,14.0,6.0,15,2,6,4,2574,2335,1410,948,2046,0.463,223,658,0.339,455,646,0.704,391,1317,435,181,172,383,582
345,Weber State,62,1809,1131,678,0.625,0.12,-2.54,1,22,10,16,0,0,32,20,12,0.625,-0.49,-4.15,11.0,7.0,12,2,7,7,2414,2161,1290,843,1797,0.469,251,721,0.348,477,637,0.749,248,1025,390,221,53,316,495
346,West Virginia,116,3037,1860,1177,0.612,7.61,3.18,19,16,13,31,2,0,32,9,23,0.281,3.73,10.76,4.0,14.0,9,9,0,9,2234,2459,1290,767,1784,0.43,233,667,0.349,467,662,0.705,293,1080,417,139,114,405,487
347,Western Carolina,49,1426,633,793,0.444,-8.45,-3.5,0,3,1,1,0,0,32,22,10,0.688,1.96,-3.35,11.0,7.0,12,3,10,6,2459,2198,1295,902,1963,0.46,261,713,0.366,394,553,0.712,335,1269,367,141,103,330,536
348,Western Illinois,44,1241,523,718,0.421,-8.76,-3.89,0,2,1,0,0,0,33,21,12,0.636,-8.75,-7.37,13.0,5.0,10,5,10,6,2272,2167,1330,826,1936,0.427,195,611,0.319,425,691,0.615,482,1397,421,173,185,436,470
349,Western Kentucky,104,2882,1895,987,0.658,3.31,-0.06,11,29,20,24,1,0,34,22,12,0.647,1.19,-2.91,8.0,8.0,12,2,6,7,2728,2531,1361,996,2138,0.466,233,686,0.34,503,699,0.72,361,1358,454,260,110,470,625
350,Western Michigan,112,2702,1383,1319,0.512,-3.15,-0.24,1,11,2,4,0,0,32,12,20,0.375,-9.3,-3.79,9.0,9.0,7,7,3,12,2281,2396,1295,828,1912,0.433,253,747,0.339,372,595,0.625,402,1212,418,169,87,428,550
351,Wichita State,118,2943,1678,1265,0.57,6.09,3.35,8,12,4,16,2,0,34,15,19,0.441,2.02,3.2,5.0,13.0,10,5,2,10,2475,2484,1370,935,2091,0.447,220,660,0.333,385,552,0.697,396,1339,413,213,142,419,522
352,William & Mary,120,2792,1292,1500,0.463,-5.73,-2.68,0,3,0,0,0,0,33,10,23,0.303,-11.33,-5.55,4.0,14.0,7,7,2,13,2305,2380,1325,787,1910,0.412,296,916,0.323,435,620,0.702,341,1161,407,156,56,357,560
353,Winthrop,39,1159,644,515,0.556,-6.78,-6.48,1,12,13,11,0,0,32,17,15,0.531,-1.97,-3.42,8.0,8.0,11,5,6,9,2475,2287,1310,818,1763,0.464,238,697,0.341,601,856,0.702,341,1134,380,201,89,415,570
354,Wisconsin,127,3003,1728,1275,0.575,9.08,7.87,18,20,3,27,4,1,36,22,14,0.611,16.01,11.35,11.0,9.0,14,3,3,9,2688,2520,1455,952,2067,0.461,256,734,0.349,528,699,0.755,362,1224,458,224,59,358,594
355,Wofford,30,901,457,444,0.507,-4.68,-2.43,1,4,5,5,0,0,32,17,15,0.531,-3.87,-1.6,10.0,8.0,11,2,6,9,2384,2362,1300,874,1905,0.459,306,852,0.359,330,532,0.62,337,1190,494,142,86,373,522
356,Wright State,38,1137,636,501,0.559,-1.25,-2.41,0,4,4,4,0,0,32,18,14,0.563,-0.22,-3.62,13.0,7.0,9,7,7,6,2767,2599,1295,1033,1948,0.53,218,569,0.383,483,638,0.757,290,1111,529,200,90,379,499
357,Wyoming,120,2886,1615,1271,0.56,2.61,2.65,4,21,3,16,1,1,32,15,17,0.469,0.54,4.57,8.0,10.0,9,5,3,10,2331,2383,1290,791,1755,0.451,241,648,0.372,508,686,0.741,307,1103,374,165,80,408,500
358,Xavier,104,2705,1618,1087,0.598,6.07,3.88,13,18,9,29,0,0,34,16,18,0.471,12.23,11.03,9.0,11.0,11,7,3,9,2579,2538,1360,923,2116,0.436,232,678,0.342,501,672,0.746,401,1297,551,236,115,396,572
359,Yale,129,3094,1570,1522,0.508,-5.87,-4.4,1,16,3,7,0,0,33,23,10,0.697,4.63,0.41,11.0,3.0,9,2,9,6,2465,2226,1340,919,1969,0.467,241,687,0.351,386,546,0.707,326,1205,495,204,105,316,499
360,Youngstown State,45,1300,533,767,0.41,-8.04,-3.51,0,1,0,0,0,0,32,22,10,0.688,0.97,-5.11,14.0,6.0,14,3,8,7,2598,2269,1290,931,2064,0.451,282,872,0.323,454,589,0.771,409,1279,490,198,156,353,520
