,School,Years,AllTimeGames,AllTimeWins,AllTimeLosses,AllTimeWinPct,AllTimeSRS,AllTimeSOS,FinalPoll,RegSeasonConfChampCount,ConfChampPostCount,NCAAAppCount,NCAAFinalFourCount,NCAAChampCount,Games2023,Wins2023,Losses2023,WinPct2023,SRS2023,SOS2023,ConfWins2023,ConfLosses2023,HomeWins2023,HomeLosses2023,AwayWins2023,AwayLosses2023,Points2023,OppPoints2023,MinutesPlayed2023,FGM2023,FGA2023,FGPct2023,3PM2023,3PA2023,3PPct2023,FTM2023,FTA2023,FTPct2023,OffReb2023,TotReb2023,Assists2023,Steals2023,Blocks2023,Turnovers2023,Fouls2023
279,Southern,48,1400,727,673,0.519,-9.99,-9.56,0,8,9,9,0,0,32,18,14,0.563,-8.74,-6.09,12.0,6.0,11,2,7,11,2275,2198,1290,807,1829,0.441,221,684,0.323,440,653,0.674,312,1020,440,291,105,456,631
280,Southern California,119,3004,1734,1270,0.577,8.18,6.3,11,7,1,21,2,0,33,15,18,0.455,9.36,9.54,8.0,12.0,9,6,3,9,2446,2452,1340,872,1932,0.451,252,709,0.355,450,649,0.693,331,1123,515,247,172,418,560
281,Southern Illinois-Edwardsville,15,425,150,275,0.353,-11.58,-4.53,0,0,0,0,0,0,32,19,13,0.594,4.1,0.52,11.0,9.0,13,5,5,6,2325,2183,1300,791,1746,0.453,264,761,0.347,479,629,0.762,270,1055,456,175,98,356,579
282,Southern Indiana,3,73,28,45,0.384,-8.57,-4.36,0,0,0,0,0,0,32,8,24,0.25,-13.63,-5.59,5.0,13.0,5,10,3,13,2195,2335,1285,737,1811,0.407,215,664,0.324,506,679,0.745,319,1139,362,204,94,423,672
283,Southern Methodist,109,2725,1437,1288,0.527,2.99,1.92,5,15,3,12,1,0,33,20,13,0.606,10.22,2.56,11.0,7.0,14,3,5,8,2535,2271,1325,934,2089,0.447,251,735,0.341,416,606,0.686,480,1314,517,277,159,372,564
284,Southern Mississippi,53,1548,792,756,0.512,-0.05,1.48,1,3,0,3,0,0,32,16,16,0.5,-5.93,-2.93,9.0,9.0,11,3,5,9,2236,2273,1280,775,1826,0.424,201,614,0.327,485,693,0.7,343,1177,376,229,154,411,550
285,Southern Utah,37,1074,483,591,0.45,-6.59,-3.47,0,3,3,1,0,0,31,10,21,0.323,-5.72,-1.17,5.0,15.0,6,8,3,13,2326,2406,1245,820,1861,0.441,195,649,0.3,491,674,0.728,322,1049,375,202,92,373,548
286,St. Bonaventure,105,2558,1461,1097,0.571,2.38,1.55,6,8,2,8,1,0,33,20,13,0.606,6.77,1.95,9.0,9.0,11,4,5,6,2424,2265,1335,853,1872,0.456,251,687,0.365,467,603,0.774,320,1087,412,218,128,358,553
287,St. John's (NY),118,3095,1994,1101,0.644,8.73,5.13,15,14,3,30,2,0,33,20,13,0.606,16.49,9.58,11.0,9.0,13,5,5,6,2602,2374,1320,970,2139,0.453,237,696,0.341,425,584,0.728,476,1279,518,232,180,360,593
288,St. Thomas,4,105,54,51,0.514,-3.49,-4.62,0,0,0,0,0,0,33,20,13,0.606,-0.92,-5.72,9.0,7.0,12,2,6,9,2402,2140,1325,859,1824,0.471,299,829,0.361,385,528,0.729,255,1027,451,204,71,303,520
